alarm_id,device_id,start_timestamp,end_timestamp
6,3,53,604800
7,23,67,604800
5,27,77,604800
5,3,80,604800
16,0,83,604800
3,8,85,604800
11,33,91,604800
5,22,99,604800
13,11,100,604800
1,2,101,604800
0,3,102,604800
3,23,102,604800
3,27,112,604800
5,6,113,604800
10,33,114,604800
0,8,115,604800
8,5,115,604800
14,5,115,604800
16,39,115,604800
8,27,116,604800
5,27,116,604800
0,27,117,604800
2,35,118,604800
2,13,120,604800
6,8,120,604800
0,33,122,604800
15,1,122,604800
5,35,125,604800
5,3,126,604800
13,19,126,604800
11,30,126,604800
5,7,130,604800
9,33,130,604800
2,4,130,604800
3,26,132,604800
0,25,133,604800
10,5,134,604800
4,38,135,604800
4,33,138,604800
0,33,138,604800
8,14,138,604800
8,26,138,604800
8,35,138,604800
5,22,139,604800
5,33,139,604800
9,30,140,604800
9,13,140,604800
0,23,141,604800
8,1,142,604800
4,35,142,604800
4,30,143,604800
9,4,143,604800
9,38,143,604800
5,33,143,604800
5,33,143,604800
8,9,144,604800
9,4,144,604800
10,26,144,604800
8,13,145,604800
2,19,145,604800
0,5,145,604800
3,36,146,604800
0,30,146,604800
0,23,146,604800
2,5,147,604800
3,5,147,604800
4,13,147,604800
9,33,147,604800
2,5,147,604800
9,18,148,604800
3,4,148,604800
8,5,148,604800
15,11,148,604800
2,18,150,604800
0,38,150,604800
5,26,151,604800
5,35,151,604800
4,30,151,604800
5,18,152,604800
0,30,152,604800
0,29,152,604800
0,26,152,604800
2,30,152,604800
3,38,153,604800
0,13,153,604800
0,5,153,604800
4,5,153,604800
2,27,154,604800
0,8,154,604800
0,13,154,604800
13,9,154,604800
0,5,155,604800
8,38,156,604800
5,5,156,604800
4,38,157,604800
6,11,157,604800
6,30,157,604800
0,27,158,604800
2,5,158,604800
5,25,158,604800
0,35,158,604800
5,5,159,604800
8,19,159,604800
9,35,159,604800
2,5,159,604800
8,30,159,604800
0,13,160,604800
3,33,162,604800
8,33,162,604800
0,5,162,604800
0,22,163,604800
5,11,163,604800
10,3,163,604800
5,13,163,604800
0,27,163,604800
3,5,164,604800
3,5,164,604800
4,18,164,604800
5,38,165,604800
5,33,165,604800
2,5,165,604800
8,27,167,604800
5,23,167,604800
9,35,167,604800
0,27,168,604800
2,5,168,604800
2,38,168,604800
5,11,169,604800
5,38,169,604800
0,4,169,604800
0,18,170,604800
0,16,170,604800
3,9,170,604800
0,27,170,604800
0,38,171,604800
0,5,171,604800
0,35,172,604800
8,30,172,604800
0,5,172,604800
3,39,172,604800
2,18,172,604800
8,11,172,604800
0,24,172,604800
5,9,173,604800
3,5,173,604800
0,5,173,604800
5,23,173,604800
4,27,173,604800
0,11,174,604800
2,26,175,604800
0,26,175,604800
0,38,175,604800
5,1,175,604800
2,38,175,604800
9,38,176,604800
0,4,176,604800
8,38,176,604800
5,18,176,604800
0,5,177,604800
0,22,177,604800
3,19,177,604800
5,11,177,604800
8,4,178,604800
0,38,178,604800
0,9,178,604800
0,23,178,604800
5,30,179,604800
0,35,179,604800
9,27,179,604800
3,39,180,604800
3,33,180,604800
2,13,180,604800
5,25,181,604800
0,33,182,604800
3,3,182,604800
0,25,182,604800
13,1,183,604800
0,36,183,604800
8,26,183,604800
0,30,183,604800
2,33,184,604800
0,22,184,604800
0,27,184,604800
0,4,185,604800
2,22,185,604800
0,6,185,604800
3,26,185,604800
2,33,185,604800
0,18,185,604800
2,18,185,604800
4,33,185,604800
0,23,185,604800
0,35,186,604800
5,3,186,604800
9,9,186,604800
